NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
11,12/01/2016,318,48,PANDIAH,130503,26.32,15.76,21.64,36.29,91.6,72.2,71.6,.,60,65,23,124,39,125.9,111.6,216.1,8.7,33.5,87,52,53,49,52,2,10,36,79.412,34.328,141
12,23/01/2016,331,49,PANDIAH,130503,26.32,15.76,21.64,36.29,93.1,78.5,66.5,0.081,65,60,27,137,53,83.7,58.6,169.5,11.9,23.6,69,36,71,50,61,10,5,24,83.607,24.59,149.5
13,30/01/2016,339,50,PANDIAH,130503,26.32,15.76,21.64,36.29,90.7,67.5,56.9,0.23,70,75,35,223,138,121.6,103.2,223,10.3,31.9,82,46,43,33,37,5,24,33,70.769,27.692,217
14,20/10/2015,252,41,NE185,138B_05,42.22,22.67,10.67,24.44,83.1,16.9,57.4,0.022,40,20,28,47,0,97.7,90.2,143,4.1,40.6,90,64,32,25,28,4,2,65,72.857,24.638,163
15,29/10/2015,265,42,NE185,138B_05,42.22,22.67,10.67,24.44,86.5,54,50.5,2.1,65,60,15,76,0,118.3,107.6,194.5,7.2,34.5,91,60,31,29,30,2,14,55,77.465,38.028,241
16,19/11/2015,271,43,NE185,138B_05,42.22,22.67,10.67,24.44,86.4,56.5,59.3,.,70,65,16,88,0,103.7,94.9,161.2,6.5,34.4,91,65,37,28,30,8,8,54,79.104,48.529,175
17,09/01/2016,311,47,NE185,138B_05,42.22,22.67,10.67,24.44,90.4,70.1,70.8,0.21,55,60,14,69,0,116.8,106.9,184.2,7,30,90,58,16,1,1,0,8,0,79.31,28.814,92.333
18,12/01/2016,319,48,NE185,138B_05,42.22,22.67,10.67,24.44,88.2,65.4,71.7,0.065,55,50,22,93,9,89.9,79.9,149.7,5,41.8,88,59,18,14,16,2,7,75,87.097,37.097,152.5
19,23/01/2016,333,49,NE185,138B_05,42.22,22.67,10.67,24.44,88.8,67.4,67.4,0.073,65,40,19,64,0,82.9,73.4,151.1,6.9,29.1,88,51,27,22,23,4,16,56,73.438,31.25,.
20,11/09/2015,198,35,DOLMAN,150213,32.46,12.28,24.56,30.7,86.1,58.4,59,.,65,65,21,122,32,85,66.6,179.8,7.5,34.1,78,38,57,42,53,4,16,27,49.351,18.182,.
21,15/09/2015,209,36,DOLMAN,150213,32.46,12.28,24.56,30.7,88.1,60.4,66.7,0.1,40,60,28,140,55,80.3,59.5,160.3,7.9,29.4,74,40,20,12,17,4,30,50,68.493,20.833,162.5
22,17/09/2015,218,37,DOLMAN,150213,32.46,12.28,24.56,30.7,87.6,58,62.9,0.028,30,40,22,75,0,99.1,87,162,5.2,44.2,87,55,13,11,13,1,5,81,60.606,12.121,.
23,09/01/2016,316,47,DOLMAN,150213,32.46,12.28,24.56,30.7,80.7,46,60.7,4.08,55,20,16,27,0,103.4,80.2,207.6,9.7,27.8,75,39,17,8,8,0,10,0,75.862,14.035,136.5
24,30/01/2016,340,50,DOLMAN,150213,32.46,12.28,24.56,30.7,78.4,44.6,43,0.42,50,40,11,37,0,109.3,82.6,228.2,10,31.5,75,38,48,32,47,1,15,37,70.588,1.493,170
25,20/10/2015,254,41,NE098,171B_05,41.82,16,11.27,30.91,83.4,16.9,66,0.054,70,85,15,86,1,142.7,132.6,197.9,5.9,40,92,69,60,54,57,2,7,33,72.464,15.942,.
26,19/11/2015,275,43,NE098,171B_05,41.82,16,11.27,30.91,83.6,37.4,38,0.69,65,65,18,99,14,102.6,88.9,190.2,7.9,34.2,84,46,48,39,44,4,11,40,57.746,9.859,.
27,12/01/2016,323,48,NE098,171B_05,41.82,16,11.27,30.91,92.5,68.4,78.8,0.15,65,70,12,71,0,111.4,102.4,166.2,5.5,40.8,91,65,51,42,46,5,10,39,69.841,19.048,128.333
28,23/01/2016,334,49,NE098,171B_05,41.82,16,11.27,30.91,89.4,60.7,53,0.029,45,70,17,101,16,99.4,91.1,183.9,6,45.4,91,51,63,60,61,1,5,33,61.538,1.515,.
29,30/01/2016,341,50,NE098,171B_05,41.82,16,11.27,30.91,88.9,69.9,78.1,0.45,70,65,13,69,0,88.7,85.4,121.8,4.2,40,95,70,20,13,13,7,27,53,58.209,19.048,.
30,20/10/2015,249,41,NE070,006_01,31.62,23.04,37.99,7.35,89.4,56.3,71.9,0.051,60,70,78,461,376,79.5,63.2,155,7.6,26.5,78,41,41,26,33,8,22,37,80.282,34.247,.
31,29/10/2015,266,42,NE070,006_01,31.62,23.04,37.99,7.35,89.6,65.5,94.8,0.31,50,65,31,168,83,108.3,93.9,183.4,7.1,36.3,85,54,60,51,58,3,7,33,80.822,31.944,162.333
32,19/11/2015,273,43,NE070,006_01,31.62,23.04,37.99,7.35,93.9,76.4,64.1,1.47,55,70,30,179,94,83.3,70,168.3,7.6,34.5,83,44,44,33,38,6,17,38,90.141,43.662,111.5
33,09/01/2016,310,47,NE070,006_01,31.62,23.04,37.99,7.35,94.6,75.6,83.6,0.03,55,45,31,119,34,74.9,64.7,123.5,5,32.4,84,53,19,33,1,0,15,0,77.612,29.851,171
34,12/01/2016,322,48,NE070,006_01,31.62,23.04,37.99,7.35,.,.,.,0.15,45,60,29,146,60,78.7,56.1,139,6.4,30.9,72,43,31,13,24,7,21,48,75,26.866,228
35,20/10/2015,253,41,NE070,011_01,29.31,25.17,30.34,15.17,84.8,51.6,60.4,0.037,60,70,32,190,105,80.3,61.7,161.5,8.1,28.6,77,40,53,31,44,9,20,27,76.623,30.263,182
36,29/10/2015,267,42,NE070,011_01,29.31,25.17,30.34,15.17,68.6,39,33.6,0.92,65,40,20,66,0,82.9,71.7,151.1,7.7,30.7,85,50,60,40,44,17,19,20,80,18.571,.
37,19/11/2015,272,43,NE070,011_01,29.31,25.17,30.34,15.17,98.1,71.3,17.1,3,40,70,22,128,43,94.1,84.9,160.3,5.7,41.8,88,54,30,24,26,4,7,63,84.286,27.143,197
38,09/01/2016,308,47,NE070,011_01,29.31,25.17,30.34,15.17,85,57.9,70.8,0.014,30,45,22,84,0,77.8,62.1,150.5,7.5,23.7,76,41,15,16,0,0,9,0,77.778,25.397,195
39,12/01/2016,321,48,NE070,011_01,29.31,25.17,30.34,15.17,86.3,61.7,72.4,0.009,55,55,46,212,127,100.3,83.2,169.3,7.3,32.7,78,48,32,20,26,6,20,48,67.164,26.866,119.667
40,20/10/2015,251,41,NE185,135_05,30.6,29.35,33.58,6.47,83.1,49.9,79.6,0.046,30,50,74,312,227,102,87,180.4,8.1,31,83,49,45,35,40,5,16,39,77.465,30.986,.
41,29/10/2015,264,42,NE185,135_05,30.6,29.35,33.58,6.47,86.2,64.4,72.2,0.37,45,65,23,124,39,83.7,72.1,157.8,6,39,86,48,52,42,47,5,14,34,75.714,45.714,160.429
42,19/11/2015,270,43,NE185,135_05,30.6,29.35,33.58,6.47,86.4,65.3,50.2,0.46,60,65,31,171,86,103.7,86.9,183.5,7.9,31.6,84,51,30,23,27,3,31,39,71.014,40.58,234.5
